quantile,threshold,macro_avg_recall,weighted_avg_recall,avg_recall,classification_report_dict
0.52,15136.7021484375,0.5467451671421935,0.5431135689569946,0.544929368049594,"{'Normal': {'precision': 0.8137345174800249, 'recall': 0.540333714646365, 'f1-score': 0.6494328485581197, 'support': 50702.0}, 'Anomaly': {'precision': 0.24986320769899256, 'recall': 0.553156619638022, 'f1-score': 0.3442343081391482, 'support': 14034.0}, 'accuracy': 0.5431135689569946, 'macro avg': {'precision': 0.5317988625895087, 'recall': 0.5467451671421935, 'f1-score': 0.49683357834863395, 'support': 64736.0}, 'weighted avg': {'precision': 0.6914938791726379, 'recall': 0.5431135689569946, 'f1-score': 0.5832694106527834, 'support': 64736.0}}"
0.521,15136.7109375,0.5473209551042877,0.5440558576371726,0.5456884063707301,"{'Normal': {'precision': 0.8140527720130447, 'recall': 0.5415565460928563, 'f1-score': 0.6504169035436801, 'support': 50702.0}, 'Anomaly': {'precision': 0.2503386441333935, 'recall': 0.553085364115719, 'f1-score': 0.34467140319715805, 'support': 14034.0}, 'accuracy': 0.5440558576371726, 'macro avg': {'precision': 0.5321957080732191, 'recall': 0.5473209551042877, 'f1-score': 0.4975441533704191, 'support': 64736.0}, 'weighted avg': {'precision': 0.6918462088849084, 'recall': 0.5440558576371726, 'f1-score': 0.5841348911879107, 'support': 64736.0}}"
0.522,15136.7314453125,0.5478156260001554,0.5449518042511121,0.5463837151256338,"{'Normal': {'precision': 0.8143161507959993, 'recall': 0.5427596544515009, 'f1-score': 0.651368112099981, 'support': 50702.0}, 'Anomaly': {'precision': 0.25075948548897936, 'recall': 0.55287159754881, 'f1-score': 0.34502845962291, 'support': 14034.0}, 'accuracy': 0.5449518042511122, 'macro avg': {'precision': 0.5325378181424893, 'recall': 0.5478156260001554, 'f1-score': 0.49819828586144554, 'support': 64736.0}, 'weighted avg': {'precision': 0.6921437236933251, 'recall': 0.5449518042511121, 'f1-score': 0.5849572945817034, 'support': 64736.0}}"
0.523,15136.765625,0.5484012755061729,0.5459095402867029,0.5471554078964379,"{'Normal': {'precision': 0.8146376041112883, 'recall': 0.5440022089858388, 'f1-score': 0.6523651844843897, 'support': 50702.0}, 'Anomaly': {'precision': 0.25124684241207335, 'recall': 0.5528003420265071, 'f1-score': 0.3454755967224795, 'support': 14034.0}, 'accuracy': 0.5459095402867029, 'macro avg': {'precision': 0.5329422232616808, 'recall': 0.5484012755061729, 'f1-score': 0.4989203906034346, 'support': 64736.0}, 'weighted avg': {'precision': 0.6925011429507781, 'recall': 0.5459095402867029, 'f1-score': 0.5858351474933701, 'support': 64736.0}}"
0.524,15136.7734375,0.5490619989490352,0.5469445130993574,0.5480032560241963,"{'Normal': {'precision': 0.8150036845983788, 'recall': 0.5453236558715633, 'f1-score': 0.6534321197726494, 'support': 50702.0}, 'Anomaly': {'precision': 0.2517931907435656, 'recall': 0.5528003420265071, 'f1-score': 0.34599174935890287, 'support': 14034.0}, 'accuracy': 0.5469445130993574, 'macro avg': {'precision': 0.5333984376709722, 'recall': 0.5490619989490352, 'f1-score': 0.4997119345657761, 'support': 64736.0}, 'weighted avg': {'precision': 0.6929063033768259, 'recall': 0.5469445130993574, 'f1-score': 0.5867826796097335, 'support': 64736.0}}"
0.525,15136.779296875,0.5497621685675906,0.5480412753336629,0.5489017219506267,"{'Normal': {'precision': 0.8153900458877515, 'recall': 0.5467239951086742, 'f1-score': 0.6545609105291742, 'support': 50702.0}, 'Anomaly': {'precision': 0.2523747560182173, 'recall': 0.5528003420265071, 'f1-score': 0.3465404029124045, 'support': 14034.0}, 'accuracy': 0.5480412753336629, 'macro avg': {'precision': 0.5338824009529844, 'recall': 0.5497621685675906, 'f1-score': 0.5005506567207894, 'support': 64736.0}, 'weighted avg': {'precision': 0.6933349825840404, 'recall': 0.5480412753336629, 'f1-score': 0.5877857034744636, 'support': 64736.0}}"
0.526,15136.845322265624,0.5501225962630738,0.5487673010380623,0.549444948650568,"{'Normal': {'precision': 0.8155707615048016, 'recall': 0.5477298725888525, 'f1-score': 0.6553396339952569, 'support': 50702.0}, 'Anomaly': {'precision': 0.25269675737330943, 'recall': 0.5525153199372952, 'f1-score': 0.34678771886670096, 'support': 14034.0}, 'accuracy': 0.5487673010380623, 'macro avg': {'precision': 0.5341337594390555, 'recall': 0.5501225962630738, 'f1-score': 0.5010636764309789, 'support': 64736.0}, 'weighted avg': {'precision': 0.6935463272799288, 'recall': 0.5487673010380623, 'f1-score': 0.5884492240701124, 'support': 64736.0}}"
0.527,15136.952485351563,0.550627128702865,0.5496786950074147,0.5501529118551398,"{'Normal': {'precision': 0.8158342126861297, 'recall': 0.5489527040353438, 'f1-score': 0.6562993704166569, 'support': 50702.0}, 'Anomaly': {'precision': 0.2531352057478772, 'recall': 0.5523015533703862, 'f1-score': 0.34715814932592826, 'support': 14034.0}, 'accuracy': 0.5496786950074147, 'macro avg': {'precision': 0.5344847092170034, 'recall': 0.550627128702865, 'f1-score': 0.5017287598712925, 'support': 64736.0}, 'weighted avg': {'precision': 0.6938477157853105, 'recall': 0.5496786950074147, 'f1-score': 0.5892812059210549, 'support': 64736.0}}"
0.528,15137.1376953125,0.5511870119916543,0.5506364310430055,0.5509117215173299,"{'Normal': {'precision': 0.8161312971739512, 'recall': 0.5502149816575284, 'f1-score': 0.6572970171056972, 'support': 50702.0}, 'Anomaly': {'precision': 0.25361654775152187, 'recall': 0.5521590423257803, 'f1-score': 0.34758230914147303, 'support': 14034.0}, 'accuracy': 0.5506364310430054, 'macro avg': {'precision': 0.5348739224627366, 'recall': 0.5511870119916543, 'f1-score': 0.5024396631235851, 'support': 64736.0}, 'weighted avg': {'precision': 0.6941847451257188, 'recall': 0.5506364310430055, 'f1-score': 0.5901545274311742, 'support': 64736.0}}"
0.529,15137.28125,0.5515907042773724,0.5514705882352942,0.5515306462563333,"{'Normal': {'precision': 0.8163289143257607, 'recall': 0.5513786438404796, 'f1-score': 0.6581908932523426, 'support': 50702.0}, 'Anomaly': {'precision': 0.2539849130862578, 'recall': 0.5518027647142654, 'f1-score': 0.34785733536968827, 'support': 14034.0}, 'accuracy': 0.5514705882352942, 'macro avg': {'precision': 0.5351569137060093, 'recall': 0.5515907042773724, 'f1-score': 0.5030241143110155, 'support': 64736.0}, 'weighted avg': {'precision': 0.6944193784663443, 'recall': 0.5514705882352942, 'f1-score': 0.5909142442266818, 'support': 64736.0}}"
